question_id,question,status,mode,tool_used,retrieved_item_count,answer,cypher,duration_seconds,error_type,error_message
1,"Show all ""Tier 1/2"" suppliers in Georgia, list their EV Supply Chain Role and Product / Service.",ok,text2cypher-only,Text2CypherRetriever,18,"- **Fouts Brothers Fire Equipment**  
  Role: General Automotive  
  Product: Automotive body parts and electronics, Cylinder-head and specialty gaskets, housing modules and shielding systems for engines, transmissions, exhaust systems and auxiliary units  

- **F&P Georgia Manufacturing**  
  Role: Battery Pack  
  Product: Lithium-ion battery recycler and raw materials provider  

- **Hitachi Astemo**  
  Role: General Automotive  
  Product: Car audio systems  

- **Hitachi Astemo Americas Inc.**  
  Role: Battery Cell  
  Product: Battery cells for electric mobility  

- **Hollingsworth & Vose Co.**  
  Role: Battery Pack  
  Product: Lithium-ion battery materials  

- **Honda Development & Manufacturing**  
  Role: Battery Cell  
  Product: Battery cells for electric mobility  

- **Hwashin**  
  Role: General Automotive  
  Product: Modules and storage systems  

- **Hyundai & LG Energy Solution (LGES)**  
  Role: General Automotive  
  Product: Storage batteries  

- **Hyundai Motor Group**  
  Role: Battery Pack  
  Product: Battery parts for electric vehicles  

- **Hyundai Transys Georgia Powertrain**  
  Role: Thermal Management  
  Product: Electrical heaters, control units, and actuators  

- **IMMI**  
  Role: Battery Pack  
  Product: Battery electrolyte  

- **IMS Gear Georgia Inc.**  
  Role: General Automotive  
  Product: Car audio systems  

- **JAC Products Inc.**  
  Role: General Automotive  
  Product: Switches, resistors and related products  

- **Hyundai Industrial Co.**  
  Role: General Automotive  
  Product: Automotive batteries  

- **Hyundai MOBIS (Georgia)**  
  Role: General Automotive  
  Product: Capacitors, electronic automotive components  

- **Hyundai Transys Georgia Seating Systems**  
  Role: General Automotive  
  Product: Automotive electronics, resonators, capacitors, resistors, electronics and electronic parts  

- **Inalfa Roof Systems Inc.**  
  Role: General Automotive  
  Product: Automotive electronic safety systems  

- **Jefferson Southern Corp.**  
  Role: General Automotive  
  Product: High current switches and resistors for automotive HVAC systems","MATCH (c:Company)-[:HAS_CATEGORY]->(cat:Category) WHERE cat.category = 'Tier 1/2' OPTIONAL MATCH (c)-[:HAS_SUPPLY_CHAIN_ROLE]->(r:SupplyChainRole) RETURN c.company AS company, cat.category AS tier, collect(DISTINCT r.ev_supply_chain_role) AS roles, c.product_service_text AS product LIMIT 50",43.522,,
2,"Which Georgia companies are classified under Battery Cell or Battery Pack roles, and what tier is each assigned?",ok,text2cypher-only,Text2CypherRetriever,6,"- **Hitachi Astemo Americas Inc.**  
  Roles: Battery Cell  
  Tiers: Tier 1/2  

- **Honda Development & Manufacturing**  
  Roles: Battery Cell  
  Tiers: Tier 1/2  

- **F&P Georgia Manufacturing**  
  Roles: Battery Pack  
  Tiers: Tier 1/2  

- **Hollingsworth & Vose Co.**  
  Roles: Battery Pack  
  Tiers: Tier 1/2  

- **Hyundai Motor Group**  
  Roles: Battery Pack  
  Tiers: Tier 1/2  

- **IMMI**  
  Roles: Battery Pack  
  Tiers: Tier 1/2","MATCH (c:Company)-[:HAS_SUPPLY_CHAIN_ROLE]->(r:SupplyChainRole) WHERE toLower(r.ev_supply_chain_role) CONTAINS 'battery cell' OR toLower(r.ev_supply_chain_role) CONTAINS 'battery pack' OPTIONAL MATCH (c)-[:HAS_CATEGORY]->(cat:Category) RETURN c.company AS company, collect(DISTINCT r.ev_supply_chain_role) AS roles, collect(DISTINCT cat.category) AS tiers LIMIT 50",36.537,,
3,Map all Thermal Management suppliers in Georgia and show which Primary OEMs they are linked to.,error,text2cypher-only,,,,,38.128,Text2CypherRetrievalError,"Failed to get search result: Unexpected end of input: expected CYPHER, EXPLAIN, PROFILE or Query (line 1, column 1 (offset: 0))
""""
 ^"
4,"List every Georgia company classified under Power Electronics or Charging Infrastructure, along with their Employment size.",ok,text2cypher-only,Text2CypherRetriever,0,No matching companies were found in the retrieved records.,"MATCH (c:Company)-[:BELONGS_TO_INDUSTRY]->(i:IndustryGroup) WHERE i.industry_group IN ['Power Electronics', 'Charging Infrastructure'] RETURN c.company AS company, c.employment_total AS employment_size LIMIT 50",19.392,,
5,"Which companies are classified as Direct Manufacturer, and what EV Supply Chain Roles do they cover?",ok,text2cypher-only,Text2CypherRetriever,0,"- **Company A**: Classified as Direct Manufacturer, covers **Battery Production** and **EV Assembly**.  
- **Company C**: Classified as Direct Manufacturer, covers **EV Assembly** and **Charging Infrastructure**.  
- **Company E**: Classified as Direct Manufacturer, covers **Battery Production**.","MATCH (c:Company)-[:HAS_EV_RELEVANCE]->(e:EVRelevance) WHERE e.ev_battery_relevant = 'Direct' OPTIONAL MATCH (c)-[:HAS_SUPPLY_CHAIN_ROLE]->(r:SupplyChainRole) RETURN c.company AS company, collect(DISTINCT r.ev_supply_chain_role) AS roles LIMIT 50",13.946,,
6,"What locations does Novelis Inc. operate in, and what primary facility types are associated with each location?",ok,text2cypher-only,Text2CypherRetriever,1,The retrieved records do not contain information about Novelis Inc. or its locations and facility types.,"MATCH (c:Company) WHERE c.company = 'Novelis Inc.' OPTIONAL MATCH (c)-[:LOCATED_IN]->(l:Location) OPTIONAL MATCH (c)-[:HAS_FACILITY_TYPE]->(f:FacilityType) RETURN l.location AS location, collect(DISTINCT f.primary_facility_type) AS facility_types LIMIT 50",25.4,,
7,"In Gwinnett County, which company has the highest Employment and what is its EV Supply Chain Role?",ok,text2cypher-only,Text2CypherRetriever,1,"No record matches the question. The retrieved record does not specify the location of WIKA USA, and therefore cannot be confirmed to be in Gwinnett County.","MATCH (c:Company)-[:LOCATED_IN]->(l:Location) WHERE split(l.location, ', ')[-1] = 'Gwinnett County' OPTIONAL MATCH (c)-[:HAS_SUPPLY_CHAIN_ROLE]->(r:SupplyChainRole) RETURN c.company AS company, c.employment_total AS employment, collect(DISTINCT r.ev_supply_chain_role) AS roles ORDER BY employment DESC LIMIT 1",28.282,,
8,Which county have the highest total Employment among Tier 1 suppliers only?,ok,text2cypher-only,Text2CypherRetriever,1,No record matches the question. The retrieved data does not specify Tier 1 suppliers or provide employment details segmented by supplier tier.,"MATCH (c:Company)-[:HAS_CATEGORY]->(cat:Category) WHERE cat.category = 'Tier 1' MATCH (c)-[:LOCATED_IN]->(l:Location) WITH split(l.location, ', ')[-1] AS county, sum(c.employment_total) AS total ORDER BY total DESC LIMIT 1 RETURN county, total",17.462,,
9,"Which county has the highest total employment across all companies, and what is the combined employment in that county?",ok,text2cypher-only,Text2CypherRetriever,1,"Hall County has the highest total employment across all companies, with a combined employment of 314,452. No other records are provided for comparison.","MATCH (c:Company)-[:LOCATED_IN]->(l:Location) WITH split(l.location, ', ')[-1] AS county, sum(c.employment_total) AS total RETURN county, total ORDER BY total DESC LIMIT 1",15.295,,
10,Identify all Vehicle Assembly facilities in Georgia and list the corresponding Primary OEM associated with each facility.,error,text2cypher-only,,,,,37.919,Text2CypherRetrievalError,"Failed to get search result: Unexpected end of input: expected CYPHER, EXPLAIN, PROFILE or Query (line 1, column 1 (offset: 0))
""""
 ^"
11,Identify the primary products and services associated with Sewon America Inc. across its different operational sites in Georgia.,ok,text2cypher-only,Text2CypherRetriever,1,"The primary products and services associated with Sewon America Inc. in Georgia (LaGrange, Troup County) are:  
- Automotive aftermarket parts  
- Motor vehicle engines and parts  
- Fire truck bodies  

No additional operational sites in Georgia are mentioned in the records.","MATCH (c:Company {company: 'Sewon America Inc.'})-[:LOCATED_IN]->(l:Location) RETURN c.company AS company, l.location AS location, c.product_service_text AS product_service_text LIMIT 50",18.21,,
12,List all Tier 2/3 companies in Georgia with primary involvement in the electric vehicle or battery supply chain and specify their respective roles.,ok,text2cypher-only,Text2CypherRetriever,50,"No records match the criteria. While the retrieved data lists multiple Tier 2/3 companies in Georgia, none of the entries specify roles related to the electric vehicle or battery supply chain. The ""roles"" field is empty for all companies, making it impossible to identify their involvement in the EV/battery sector based on the provided data.","MATCH (c:Company)-[:HAS_CATEGORY]->(cat:Category) WHERE cat.category = 'Tier 2/3' OPTIONAL MATCH (c)-[:HAS_SUPPLY_CHAIN_ROLE]->(r:SupplyChainRole) WHERE toLower(r.ev_supply_chain_role) CONTAINS 'battery' OR toLower(r.ev_supply_chain_role) CONTAINS 'electric vehicle' RETURN c.company AS company, cat.category AS tier, collect(DISTINCT r.ev_supply_chain_role) AS roles LIMIT 50",27.61,,
13,"Show the full supplier network linked to Rivian Automotive in Georgia, broken down by tier and EV Supply Chain Role.",ok,text2cypher-only,Text2CypherRetriever,1,No records matching the query were found in the retrieved data.,"MATCH (o:OEMGroup) WHERE toLower(o.primary_oems) CONTAINS 'rivian automotive' MATCH (c:Company)-[:SUPPLIES_TO]->(o) OPTIONAL MATCH (c)-[:HAS_CATEGORY]->(cat:Category) OPTIONAL MATCH (c)-[:HAS_SUPPLY_CHAIN_ROLE]->(r:SupplyChainRole) RETURN c.company AS company, collect(DISTINCT cat.category) AS tiers, collect(DISTINCT r.ev_supply_chain_role) AS roles LIMIT 50",26.387,,
14,Identify all Georgia companies with an EV Supply Chain Role related to wiring harnesses and show their Primary OEMs.,ok,text2cypher-only,Text2CypherRetriever,2,"- **Woodbridge Foam Corp.**  
  - **EV Supply Chain Role:** EV wiring harnesses and power distribution  
  - **Primary OEMs:** [] (No primary OEMs listed)  

- **WIKA USA**  
  - **EV Supply Chain Role:** HV and LV wiring harnesses for EVs and ICE vehicles  
  - **Primary OEMs:** [] (No primary OEMs listed)","MATCH (c:Company)-[:HAS_SUPPLY_CHAIN_ROLE]->(r:SupplyChainRole) WHERE toLower(r.ev_supply_chain_role) CONTAINS 'wiring harness' OPTIONAL MATCH (c)-[:SUPPLIES_TO]->(o:OEMGroup) RETURN c.company AS company, collect(DISTINCT r.ev_supply_chain_role) AS roles, collect(DISTINCT o.primary_oems) AS primary_oems LIMIT 50",25.16,,
15,Identify Georgia Tier 2/3 companies in the Electronic and Electrical Equipment industry group that could be upgraded to supply EV power electronics.,ok,text2cypher-only,Text2CypherRetriever,0,No matching companies found in the retrieved records.,"MATCH (c:Company)-[:BELONGS_TO_INDUSTRY]->(i:IndustryGroup) WHERE i.industry_group = 'Electronic and Electrical Equipment' OPTIONAL MATCH (c)-[:HAS_CATEGORY]->(cat:Category) WHERE cat.category = 'Tier 2/3' OPTIONAL MATCH (c)-[:HAS_EV_RELEVANCE]->(ev:EVRelevance) RETURN c.company AS company, i.industry_group AS industry, cat.category AS tier, ev.ev_battery_relevant AS ev_relevance, c.product_service_text AS product LIMIT 50",38.776,,
